EmployeeNumber,Gender,Education,EducationField,Department,JobRole,JobLevel,PerformanceRating,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,EnvironmentSatisfaction,BusinessTravel,OverTime,WorkLifeBalance,MaritalStatus,StockOptionLevel,Age,DistanceFromHome,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1802,Male,Master,Medical,Sales,Sales Executive,L2,High,High,High,Medium,Low,Travel Rarely,Never,Better,Single,L0,28,5,4908,821,98,24252,1,14,4,3,4,2,0,2,No
1803,Male,Bachelor,Life Sciences,Research & Development,Healthcare Representative,L3,High,High,High,Low,Low,Travel Frequently,Never,Better,Married,L0,31,20,9824,534,66,22908,3,12,12,2,1,0,0,0,Yes
1804,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Medium,Very High,Travel Never,Never,Better,Divorced,L1,32,1,2314,300,61,9148,0,12,4,2,3,0,0,2,No
1805,Female,Below College,Technical Degree,Sales,Sales Representative,L1,High,High,High,Medium,Low,Travel Rarely,Frequently,Better,Single,L0,24,1,3202,1448,62,21972,1,16,6,4,5,3,1,4,Yes
1806,Female,Bachelor,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Low,Very High,Travel Frequently,Never,Bad,Single,L0,31,3,4084,561,33,4156,1,12,7,2,7,2,7,7,Yes
1807,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Medium,Low,Travel Rarely,Frequently,Bad,Single,L0,40,7,2166,1329,73,3339,3,14,10,3,4,2,0,3,Yes
1808,Female,Master,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Very High,High,Travel Rarely,Never,Good,Married,L1,49,25,3211,722,84,22102,1,14,10,3,9,6,1,4,No
1809,Male,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,Low,Medium,Travel Rarely,Frequently,Good,Married,L1,24,1,2293,813,61,3020,2,16,6,2,2,0,2,0,Yes
1810,Male,Bachelor,Medical,Research & Development,Manufacturing Director,L3,Medium,Medium,Medium,High,Very High,Travel Rarely,Frequently,Better,Married,L0,52,3,7969,319,39,19609,2,14,28,4,5,4,0,4,No
1811,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Frequently,Bad,Married,L1,33,14,2436,813,58,22149,5,13,8,2,5,4,0,4,Yes
1812,Male,Bachelor,Marketing,Sales,Sales Representative,L1,High,High,High,Very High,Medium,Travel Frequently,Frequently,Better,Single,L0,18,5,1878,1306,69,8059,1,14,0,3,0,0,0,0,Yes
1813,Male,Master,Medical,Sales,Sales Executive,L3,Low,Low,Low,High,Very High,Travel Rarely,Never,Good,Married,L0,32,4,10400,1045,32,25812,1,11,14,2,14,8,9,8,Yes
1814,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Frequently,Better,Single,L0,35,27,5813,303,84,13492,1,18,10,2,10,7,7,7,Yes
1815,Female,Bachelor,Medical,Research & Development,Research Scientist,L2,Low,Low,Low,Very High,Medium,Travel Never,Frequently,Better,Divorced,L3,38,6,5329,573,79,15717,7,12,17,3,13,11,1,9,No
1816,Female,Bachelor,Human Resources,Human Resources,Human Resources,L1,High,High,High,High,High,Travel Rarely,Never,Better,Married,L0,25,2,2187,309,82,19655,4,14,6,3,2,0,1,2,No
1817,Female,Master,Life Sciences,Research & Development,Laboratory Technician,L1,Very High,Very High,Very High,High,Very High,Travel Rarely,Frequently,Better,Married,L1,40,10,2213,1171,46,22495,3,13,10,3,7,7,1,7,No
1818,Male,Bachelor,Life Sciences,Sales,Sales Executive,L3,High,High,High,Very High,Very High,Travel Frequently,Never,Better,Single,L0,27,8,8726,994,37,2975,1,15,9,0,9,8,1,7,No
1819,Male,Below College,Life Sciences,Research & Development,Research Scientist,L2,Medium,Medium,Medium,Very High,High,Travel Frequently,Never,Better,Married,L1,49,8,5130,279,61,24907,1,23,10,3,10,7,1,7,No
1820,Male,College,Other,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Frequently,Better,Single,L0,37,2,2090,1373,92,2396,6,15,7,3,0,0,0,0,Yes
1821,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,High,Medium,Travel Frequently,Frequently,Bad,Married,L1,31,2,3722,523,94,21081,6,13,7,2,2,2,2,2,Yes
1822,Female,Master,Medical,Research & Development,Manager,L4,Medium,Medium,Medium,Very High,High,Travel Rarely,Frequently,Better,Divorced,L2,39,13,17123,412,94,17334,6,13,21,4,19,9,15,2,No
1823,Female,Below College,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Low,Medium,Travel Frequently,Never,Better,Single,L0,36,18,2153,635,73,7703,1,13,8,2,8,1,1,7,No
1824,Male,Master,Marketing,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Frequently,Bad,Single,L0,51,21,5441,632,71,8423,0,22,11,2,10,7,1,0,No
1825,Female,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Single,L0,30,3,2657,1005,88,8556,5,11,8,5,5,2,0,4,Yes
1826,Female,Master,Medical,Research & Development,Research Scientist,L2,Medium,Medium,Medium,Medium,Low,Travel Frequently,Never,Better,Single,L0,33,29,4508,827,54,3129,1,22,14,4,13,7,3,8,Yes
1827,Female,Bachelor,Marketing,Sales,Manager,L5,Low,Low,Low,Low,Low,Travel Rarely,Frequently,Better,Single,L0,45,2,18824,1449,94,2493,2,16,26,2,24,10,1,11,Yes
1828,Male,Master,Medical,Sales,Sales Executive,L2,Very High,Very High,Very High,Very High,Low,Travel Rarely,Never,Best,Divorced,L2,31,6,5460,525,66,6219,4,22,13,4,7,7,5,7,No
1829,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,Low,Medium,Travel Rarely,Never,Bad,Married,L1,37,10,3936,1470,71,9953,1,11,8,2,8,4,7,7,No
1830,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Never,Better,Single,L0,18,3,1420,230,54,25233,1,13,0,2,0,0,0,0,Yes
1831,Male,Below College,Medical,Research & Development,Laboratory Technician,L1,Low,Low,Low,Low,Low,Travel Rarely,Never,Better,Divorced,L3,33,10,3408,587,38,6705,7,13,8,2,4,3,1,3,Yes
1832,Male,Below College,Medical,Research & Development,Research Scientist,L1,High,High,High,High,Medium,Travel Rarely,Never,Better,Single,L0,34,6,2960,699,83,17102,2,11,8,2,4,2,1,3,Yes
1833,Male,Master,Medical,Sales,Sales Executive,L3,Low,Low,Low,High,Very High,Travel Rarely,Never,Good,Married,L0,32,4,10400,1045,32,25812,1,11,14,2,14,8,9,8,Yes
1834,Male,Bachelor,Technical Degree,Sales,Sales Representative,L2,High,High,High,High,Very High,Travel Rarely,Never,Best,Married,L1,39,5,2086,895,56,3335,3,14,19,6,1,0,0,0,Yes
1835,Male,Below College,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Very High,High,Travel Never,Never,Better,Single,L0,18,8,1904,247,80,13556,1,12,0,0,0,0,0,0,Yes
1836,Male,Bachelor,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Medium,Low,Travel Rarely,Frequently,Better,Single,L0,33,25,2313,1017,55,2993,4,20,5,0,2,2,2,2,Yes
1837,Female,Bachelor,Life Sciences,Research & Development,Manufacturing Director,L2,High,High,High,Very High,Low,Travel Rarely,Never,Better,Married,L2,25,1,4898,685,62,7505,0,12,5,3,4,2,1,2,No
1838,Male,Doctor,Medical,Research & Development,Research Scientist,L1,High,High,High,Medium,Very High,Travel Rarely,Frequently,Bad,Married,L1,38,2,3057,268,92,20471,6,13,6,0,1,0,0,1,No
1839,Male,Below College,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Medium,Medium,Travel Rarely,Never,Good,Married,L1,30,16,2862,793,33,3811,1,12,10,2,10,0,0,8,No
1840,Male,Master,Other,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Very High,High,Travel Rarely,Frequently,Bad,Divorced,L1,35,14,3743,622,39,10074,1,24,5,2,4,2,0,2,Yes
1841,Female,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,High,High,High,Very High,Low,Travel Frequently,Frequently,Better,Married,L1,24,7,2886,1287,55,14168,1,16,6,4,6,3,1,2,Yes
1842,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L2,Low,Low,Low,Very High,Low,Travel Frequently,Frequently,Better,Single,L0,34,7,6074,658,66,22887,1,24,9,3,9,7,0,6,Yes
1843,Female,Bachelor,Technical Degree,Sales,Sales Executive,L4,Very High,Very High,Very High,Very High,Low,Travel Rarely,Never,Better,Divorced,L1,46,3,13225,1319,45,7739,2,12,25,5,19,17,2,8,No
1844,Male,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Very High,High,Travel Frequently,Frequently,Better,Married,L1,43,17,2437,807,38,15587,9,16,6,4,1,0,0,0,Yes
1845,Male,College,Technical Degree,Research & Development,Manager,L5,High,High,High,Very High,High,Travel Rarely,Never,Better,Married,L0,42,4,19232,532,58,4933,1,11,22,3,22,17,11,15,No
1846,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,Low,Travel Rarely,Never,Good,Divorced,L1,26,21,2377,1330,37,19373,1,20,1,0,1,1,0,0,Yes
1847,Male,Master,Life Sciences,Sales,Sales Representative,L1,Medium,Medium,Medium,Medium,Medium,Travel Rarely,Never,Best,Married,L0,31,7,2329,154,41,11737,3,15,13,2,7,7,5,2,No
1848,Male,Master,Medical,Sales,Sales Executive,L2,High,High,High,High,Medium,Travel Rarely,Never,Bad,Divorced,L0,31,13,4233,1365,46,11512,2,17,9,2,3,1,1,2,Yes
1849,Female,Bachelor,Medical,Research & Development,Research Director,L3,Low,Low,Low,Low,Medium,Travel Rarely,Never,Better,Married,L1,38,10,13206,201,99,3376,3,12,20,3,18,16,1,11,No
1850,Male,College,Medical,Sales,Sales Executive,L2,Low,Low,Low,Very High,Medium,Travel Never,Never,Better,Single,L0,26,29,4969,265,79,21813,8,18,7,6,2,2,2,2,Yes
1851,Male,Below College,Life Sciences,Sales,Sales Representative,L1,Low,Low,Low,Very High,High,Travel Frequently,Frequently,Better,Single,L0,25,24,1118,599,73,8040,1,14,1,4,1,0,1,0,Yes
1852,Female,Master,Medical,Research & Development,Healthcare Representative,L3,Medium,Medium,Medium,Very High,Low,Travel Rarely,Never,Better,Married,L1,44,7,10248,477,42,2094,3,14,24,4,22,6,5,17,No
1853,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Rarely,Frequently,Better,Single,L0,35,27,5813,303,84,13492,1,18,10,2,10,7,7,7,Yes
1854,Female,Bachelor,Marketing,Sales,Sales Representative,L1,High,High,High,Medium,Very High,Travel Frequently,Frequently,Better,Single,L0,20,9,2323,769,54,17205,1,14,2,3,2,2,0,2,Yes
1855,Female,Master,Medical,Research & Development,Research Scientist,L2,Very High,Very High,Very High,Very High,Medium,Travel Rarely,Frequently,Better,Married,L0,42,7,2372,603,78,5628,6,16,18,2,1,0,0,0,No
1856,Male,Master,Other,Human Resources,Human Resources,L1,High,High,High,Medium,Very High,Travel Frequently,Frequently,Better,Married,L1,38,1,2991,1444,88,5224,0,11,7,2,6,2,1,2,No
1857,Female,Below College,Life Sciences,Research & Development,Research Director,L5,Low,Low,Low,Medium,Medium,Travel Never,Never,Better,Divorced,L2,41,7,19973,247,55,20284,1,22,21,3,21,16,5,10,No
1858,Male,Bachelor,Life Sciences,Sales,Sales Representative,L1,Medium,Medium,Medium,Low,Low,Travel Rarely,Never,Good,Single,L0,38,1,2858,1404,59,11473,4,14,20,3,1,0,0,0,No
1859,Male,Master,Marketing,Sales,Sales Executive,L2,Medium,Medium,Medium,High,High,Travel Rarely,Frequently,Good,Single,L0,32,2,9907,414,82,26186,7,12,7,3,2,2,2,2,Yes
1860,Male,Below College,Marketing,Sales,Sales Representative,L1,High,High,High,Low,Very High,Travel Rarely,Never,Better,Single,L0,30,7,2983,413,57,18398,0,14,4,3,3,2,1,2,No
1861,Male,Master,Life Sciences,Research & Development,Manager,L4,High,High,High,Low,Low,Travel Rarely,Never,Better,Divorced,L1,40,1,16823,1137,98,18991,2,11,22,3,19,7,11,16,No
1862,Male,Master,Life Sciences,Research & Development,Research Director,L5,Medium,Medium,Medium,High,Very High,Travel Rarely,Frequently,Better,Divorced,L1,49,18,19502,1245,58,2125,1,17,31,5,31,9,0,9,No
1863,Female,Master,Medical,Research & Development,Healthcare Representative,L3,High,High,High,Very High,Very High,Travel Rarely,Never,Good,Married,L1,58,23,10312,147,94,3465,1,12,40,3,40,10,15,6,Yes
1864,Female,Bachelor,Human Resources,Human Resources,Human Resources,L1,High,High,High,High,High,Travel Rarely,Never,Better,Married,L0,25,2,2187,309,82,19655,4,14,6,3,2,0,1,2,No
1865,Female,Master,Technical Degree,Research & Development,Healthcare Representative,L2,Medium,Medium,Medium,Very High,Very High,Travel Frequently,Never,Best,Married,L3,42,28,4523,1368,88,4386,0,11,7,4,6,5,0,4,No
1866,Female,Below College,Medical,Sales,Sales Executive,L2,High,High,High,Medium,High,Travel Rarely,Never,Good,Single,L0,25,26,6180,883,32,22807,1,23,6,5,6,5,1,4,No
1867,Female,Bachelor,Medical,Sales,Sales Executive,L3,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Better,Married,L2,36,3,7644,557,94,12695,0,19,10,2,9,7,3,4,No
1868,Male,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,High,Travel Frequently,Never,Better,Divorced,L1,39,20,4127,766,83,19188,2,18,7,6,2,1,2,2,No
1869,Male,Bachelor,Marketing,Sales,Sales Executive,L2,High,High,High,Very High,Very High,Travel Rarely,Never,Better,Divorced,L3,31,7,7547,691,73,7143,4,12,13,3,7,7,1,7,No
1870,Female,College,Life Sciences,Research & Development,Research Director,L3,High,High,High,High,Low,Travel Frequently,Frequently,Better,Single,L0,33,1,13458,515,98,15146,1,12,15,1,15,14,8,12,No
1871,Male,Bachelor,Technical Degree,Research & Development,Manufacturing Director,L3,High,High,High,Very High,Medium,Travel Rarely,Frequently,Best,Married,L2,45,29,9380,1448,55,14720,4,18,10,4,3,1,1,2,No
1872,Male,Bachelor,Medical,Research & Development,Healthcare Representative,L4,High,High,High,High,High,Travel Rarely,Never,Good,Married,L0,56,9,11103,832,81,20420,7,11,30,1,10,7,1,1,No
1873,Male,Below College,Medical,Research & Development,Research Director,L3,Medium,Medium,Medium,High,Very High,Travel Never,Never,Better,Divorced,L1,40,8,13757,218,55,25178,2,11,16,5,9,8,4,8,No
1874,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,Very High,Very High,Very High,Very High,Medium,Travel Rarely,Never,Better,Married,L3,33,21,2028,267,79,13637,1,18,14,6,14,11,2,13,No
1875,Male,College,Life Sciences,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Medium,Very High,Travel Frequently,Frequently,Good,Single,L0,29,24,2439,459,73,14753,1,24,1,3,1,0,1,0,Yes
1876,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Low,Low,Low,High,Low,Travel Rarely,Never,Good,Single,L0,26,25,2293,1357,48,10558,1,12,1,2,1,0,0,1,Yes
1877,Male,Master,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Very High,Low,Travel Rarely,Frequently,Better,Divorced,L1,26,16,2373,1449,45,14180,2,13,5,2,3,2,0,2,Yes
1878,Male,Bachelor,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Low,Very High,Travel Rarely,Frequently,Good,Married,L1,36,9,3388,318,79,21777,0,17,2,0,1,0,0,0,Yes
1879,Female,Below College,Technical Degree,Sales,Sales Representative,L1,Medium,Medium,Medium,High,Low,Travel Frequently,Frequently,Better,Single,L0,21,1,2174,756,99,9150,1,11,3,3,3,2,1,2,Yes
1880,Male,Bachelor,Other,Research & Development,Laboratory Technician,L1,Very High,Very High,Very High,Very High,High,Travel Rarely,Never,Better,Single,L0,26,7,3578,652,100,23577,0,12,8,2,7,7,0,7,No
1881,Male,Master,Marketing,Sales,Sales Executive,L2,High,High,High,High,Low,Travel Frequently,Frequently,Better,Single,L0,46,5,5772,1211,98,20445,4,21,14,4,9,6,0,8,No
1882,Male,Master,Other,Sales,Sales Executive,L2,High,High,High,Low,Very High,Travel Frequently,Frequently,Best,Single,L0,35,12,4581,880,36,10414,3,24,13,2,11,9,6,7,Yes
1883,Female,Bachelor,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,High,Medium,Travel Rarely,Never,Better,Single,L0,27,4,2318,618,76,17808,1,19,1,2,1,1,0,0,No
1884,Male,Bachelor,Medical,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Low,Low,Travel Frequently,Never,Better,Divorced,L2,28,1,2596,1009,45,7160,1,15,1,2,1,0,0,0,Yes
1885,Male,Bachelor,Life Sciences,Sales,Sales Executive,L4,Low,Low,Low,High,High,Travel Frequently,Never,Bad,Married,L0,47,9,12936,1093,82,24164,7,11,25,3,23,5,14,10,Yes
1886,Female,College,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Low,High,Travel Frequently,Frequently,Better,Married,L1,26,5,2366,887,88,20898,1,14,8,2,8,7,1,7,Yes
1887,Male,Below College,Medical,Sales,Sales Executive,L2,High,High,High,High,High,Travel Rarely,Never,Good,Single,L0,55,2,5160,436,37,21519,4,16,12,3,9,7,7,3,Yes
1888,Male,College,Medical,Sales,Sales Executive,L3,Medium,Medium,Medium,Very High,High,Travel Rarely,Never,Better,Single,L0,46,9,9619,669,64,13596,1,16,9,3,9,8,4,7,Yes
1889,Female,Master,Medical,Research & Development,Laboratory Technician,L1,High,High,High,High,High,Travel Rarely,Never,Better,Divorced,L3,39,1,2232,1431,96,15417,7,14,7,1,3,2,1,2,No
1890,Male,Below College,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,High,High,Travel Rarely,Frequently,Good,Single,L0,29,18,2389,896,86,14961,1,13,4,3,4,3,0,1,Yes
1891,Female,College,Marketing,Sales,Manager,L5,Medium,Medium,Medium,High,Very High,Travel Rarely,Never,Better,Married,L1,46,4,18789,168,33,9946,2,14,26,2,11,4,0,8,No
1892,Female,Master,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Good,Divorced,L2,27,6,2187,798,66,5013,0,12,6,5,5,3,0,3,No
1893,Male,Bachelor,Life Sciences,Research & Development,Healthcare Representative,L2,Medium,Medium,Medium,High,Low,Travel Frequently,Never,Good,Divorced,L1,38,12,6288,471,45,4284,2,15,13,3,4,3,1,2,No
1894,Male,Bachelor,Marketing,Sales,Sales Executive,L2,Medium,Medium,Medium,Very High,High,Travel Rarely,Frequently,Better,Single,L0,25,5,5744,240,46,26959,1,11,6,1,6,4,0,3,Yes
1895,Female,Doctor,Life Sciences,Research & Development,Research Director,L4,High,High,High,Medium,Low,Travel Rarely,Never,Better,Single,L0,42,23,15992,810,44,15901,2,14,16,2,1,0,0,0,No
1896,Male,Master,Life Sciences,Research & Development,Manufacturing Director,L3,Low,Low,Low,Very High,Low,Travel Frequently,Never,Better,Single,L0,51,8,10650,1150,53,25150,2,15,18,2,4,2,0,3,Yes
1897,Male,Bachelor,Human Resources,Human Resources,Human Resources,L1,Medium,Medium,Medium,Very High,Low,Travel Rarely,Frequently,Better,Divorced,L3,29,13,2335,350,56,3157,4,15,4,3,2,2,2,0,Yes
1898,Male,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,High,Medium,Travel Rarely,Never,Good,Single,L0,19,2,1102,303,47,9241,1,22,1,3,1,0,1,0,Yes
1899,Female,Master,Marketing,Sales,Sales Executive,L2,High,High,High,High,Very High,Travel Frequently,Frequently,Good,Married,L1,35,18,4614,662,67,23288,0,18,5,0,4,2,3,2,Yes
1900,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,High,Low,Travel Rarely,Frequently,Good,Married,L1,45,7,4477,1457,83,20100,4,19,7,2,3,2,0,2,No
1901,Female,College,Medical,Research & Development,Research Scientist,L2,Medium,Medium,Medium,Very High,High,Travel Frequently,Frequently,Bad,Married,L1,40,26,4422,902,92,21203,3,13,16,3,1,1,0,0,No
1902,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L1,Very High,Very High,Very High,Medium,Low,Travel Rarely,Never,Good,Divorced,L1,31,4,3978,471,62,16031,8,12,4,0,2,2,2,2,No
1903,Male,Bachelor,Medical,Research & Development,Research Scientist,L1,High,High,High,High,High,Travel Rarely,Never,Bad,Married,L1,28,21,2713,440,42,6672,1,11,5,2,5,2,0,2,No
1904,Male,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,High,Medium,Travel Rarely,Never,Good,Divorced,L1,32,13,4403,117,73,9250,2,11,8,3,5,2,0,3,No
1905,Female,College,Medical,Research & Development,Healthcare Representative,L2,Low,Low,Low,Low,Low,Travel Rarely,Never,Bad,Married,L0,37,11,4777,1141,61,14382,5,15,15,2,1,0,0,0,Yes
1906,Female,Bachelor,Medical,Research & Development,Manufacturing Director,L3,High,High,High,Medium,Very High,Travel Rarely,Never,Good,Divorced,L3,28,3,7655,950,93,8039,0,17,10,3,9,7,1,7,No
1907,Female,Master,Other,Sales,Sales Executive,L3,High,High,High,High,High,Travel Never,Never,Better,Married,L0,30,22,8412,1398,69,2890,0,11,10,3,9,8,7,8,No
1908,Male,Bachelor,Medical,Research & Development,Healthcare Representative,L3,Very High,Very High,Very High,Low,High,Travel Rarely,Never,Good,Divorced,L3,39,1,9613,1132,48,10942,0,17,19,5,18,10,3,7,No
1909,Female,Bachelor,Life Sciences,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Medium,Very High,Travel Frequently,Frequently,Better,Single,L0,20,6,2926,871,66,19783,1,18,1,5,1,0,1,0,Yes
1910,Male,Below College,Marketing,Sales,Sales Representative,L1,High,High,High,Medium,High,Travel Rarely,Never,Better,Divorced,L1,27,2,3041,1420,85,16346,0,11,5,3,4,3,0,2,Yes
1911,Male,College,Technical Degree,Research & Development,Laboratory Technician,L1,Very High,Very High,Very High,Low,High,Travel Never,Never,Bad,Single,L0,37,5,3500,1413,84,25470,0,14,7,2,6,5,1,3,No
1912,Female,Below College,Other,Research & Development,Healthcare Representative,L3,High,High,High,Low,High,Travel Frequently,Frequently,Better,Single,L0,29,14,7553,337,84,22930,0,12,9,1,8,7,7,7,Yes
1913,Female,Bachelor,Medical,Research & Development,Healthcare Representative,L2,Medium,Medium,Medium,Medium,High,Travel Rarely,Never,Better,Single,L0,31,24,6812,1062,96,17198,1,19,10,2,10,9,1,8,No
1914,Female,College,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Low,High,Travel Frequently,Frequently,Better,Married,L1,26,5,2366,887,88,20898,1,14,8,2,8,7,1,7,Yes
1915,Male,Bachelor,Life Sciences,Human Resources,Human Resources,L1,High,High,High,Medium,Medium,Travel Rarely,Never,Better,Single,L0,43,2,3539,244,97,5033,0,13,10,5,9,7,1,8,No
1916,Female,College,Life Sciences,Research & Development,Manufacturing Director,L3,Medium,Medium,Medium,Low,High,Travel Frequently,Never,Better,Married,L1,31,7,8943,798,48,14034,1,24,10,2,10,9,8,9,No
1917,Female,Bachelor,Human Resources,Human Resources,Manager,L4,Very High,Very High,Very High,High,Very High,Travel Never,Frequently,Better,Single,L0,54,26,17328,142,30,13871,2,12,23,3,5,3,4,4,No
1918,Female,Bachelor,Life Sciences,Sales,Sales Executive,L2,High,High,High,Very High,Very High,Travel Frequently,Never,Better,Single,L0,27,20,9981,1242,90,12916,1,14,7,2,7,7,0,7,No
1919,Female,Bachelor,Life Sciences,Research & Development,Research Director,L4,High,High,High,Medium,Very High,Travel Rarely,Frequently,Better,Married,L0,50,28,16880,1322,43,22422,4,11,25,2,3,2,1,2,No
1920,Female,Bachelor,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,Very High,Travel Rarely,Frequently,Better,Single,L0,30,3,2657,1005,88,8556,5,11,8,5,5,2,0,4,Yes
1921,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Medium,Low,Travel Never,Frequently,Best,Single,L0,19,10,1859,504,96,6148,1,25,1,2,1,1,0,0,Yes
1922,Male,Below College,Technical Degree,Research & Development,Research Scientist,L1,High,High,High,High,High,Travel Frequently,Never,Better,Single,L0,26,3,3102,575,73,6582,0,22,7,2,6,4,0,4,Yes
1923,Female,Master,Life Sciences,Sales,Sales Executive,L2,High,High,High,Medium,High,Travel Never,Never,Best,Married,L2,45,2,5154,589,67,19665,4,22,10,3,8,7,5,7,No
1924,Male,Master,Marketing,Sales,Sales Executive,L2,High,High,High,High,Low,Travel Frequently,Frequently,Better,Married,L0,31,26,5617,754,63,21075,1,11,10,4,10,7,0,8,Yes
1925,Female,Bachelor,Medical,Research & Development,Laboratory Technician,L1,High,High,High,Low,Low,Travel Rarely,Never,Best,Single,L0,32,9,4200,1033,41,10224,7,22,10,2,5,4,0,4,Yes
1926,Female,College,Medical,Research & Development,Manager,L5,High,High,High,Medium,Very High,Travel Rarely,Never,Better,Divorced,L1,53,7,18606,1223,50,18640,3,18,26,6,7,7,4,7,No
1927,Female,Doctor,Life Sciences,Research & Development,Manufacturing Director,L2,High,High,High,High,Medium,Travel Rarely,Never,Better,Divorced,L1,34,8,5121,167,32,4187,3,14,7,3,0,0,0,0,No
1928,Male,Below College,Life Sciences,Research & Development,Manufacturing Director,L2,Very High,Very High,Very High,High,Very High,Travel Frequently,Never,Better,Divorced,L2,25,2,5206,772,77,4973,1,17,7,6,7,7,0,7,No
1929,Female,College,Technical Degree,Research & Development,Research Director,L4,Medium,Medium,Medium,High,Very High,Travel Rarely,Never,Better,Single,L0,45,28,16704,1005,48,17119,1,11,21,2,21,6,8,6,No
1930,Male,Bachelor,Life Sciences,Research & Development,Research Scientist,L1,High,High,High,Low,High,Travel Rarely,Never,Best,Single,L0,33,2,2500,134,90,10515,0,14,4,2,3,1,0,2,No
1931,Male,College,Life Sciences,Research & Development,Research Scientist,L2,Medium,Medium,Medium,Very High,Very High,Travel Never,Never,Better,Single,L0,42,23,4332,335,37,14811,1,12,20,2,20,9,3,7,No
1932,Male,Bachelor,Technical Degree,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Low,High,Travel Rarely,Never,Good,Divorced,L1,28,17,2367,1404,32,18779,5,12,6,2,4,1,0,3,Yes
1933,Male,Master,Medical,Research & Development,Manufacturing Director,L2,High,High,High,Medium,Very High,Travel Rarely,Never,Bad,Single,L0,37,10,4213,370,58,4992,1,15,10,4,10,3,0,8,Yes
1934,Female,Below College,Technical Degree,Sales,Sales Representative,L1,High,High,High,Medium,Low,Travel Rarely,Frequently,Better,Single,L0,24,1,3202,1448,62,21972,1,16,6,4,5,3,1,4,Yes
1935,Male,College,Medical,Research & Development,Research Director,L5,High,High,High,Very High,Low,Travel Rarely,Never,Better,Divorced,L1,40,2,19436,1416,49,5949,0,19,22,5,21,7,3,9,No
1936,Male,College,Marketing,Sales,Sales Executive,L2,Medium,Medium,Medium,Low,High,Travel Rarely,Frequently,Better,Married,L2,40,22,6380,575,68,6110,2,12,8,6,6,4,1,0,Yes
1937,Female,Bachelor,Medical,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Medium,Low,Travel Never,Frequently,Best,Single,L0,19,10,1859,504,96,6148,1,25,1,2,1,1,0,0,Yes
